chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.425#-0.312#0.139#0.839,0.167#0.102#0.007#0.981,-0.405#-0.019#0.003#0.914,-0.096#-0.572#0.108#0.807,-0.531#-0.407#-0.122#0.733,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.426#-0.311#0.139#0.838,0.167#0.102#0.007#0.981,-0.405#-0.019#0.003#0.914,-0.095#-0.572#0.107#0.807,-0.533#-0.407#-0.12#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.426#-0.311#0.139#0.838,0.168#0.103#0.007#0.98,-0.405#-0.018#0.003#0.914,-0.095#-0.572#0.107#0.807,-0.533#-0.407#-0.12#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.427#-0.31#0.139#0.838,0.168#0.103#0.007#0.98,-0.405#-0.018#0.003#0.914,-0.095#-0.572#0.107#0.808,-0.534#-0.407#-0.117#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.427#-0.31#0.139#0.838,0.168#0.103#0.006#0.98,-0.406#-0.018#0.004#0.914,-0.095#-0.572#0.107#0.808,-0.534#-0.407#-0.117#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.428#-0.31#0.138#0.838,0.168#0.103#0.006#0.98,-0.406#-0.018#0.004#0.914,-0.096#-0.571#0.106#0.808,-0.536#-0.406#-0.116#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.428#-0.31#0.138#0.838,0.168#0.105#0.005#0.98,-0.406#-0.017#0.004#0.914,-0.096#-0.571#0.106#0.808,-0.536#-0.406#-0.116#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.429#-0.309#0.138#0.838,0.168#0.105#0.005#0.98,-0.406#-0.017#0.004#0.914,-0.097#-0.57#0.105#0.809,-0.537#-0.405#-0.115#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.429#-0.309#0.138#0.838,0.168#0.107#0.004#0.98,-0.407#-0.017#0.005#0.913,-0.097#-0.57#0.105#0.809,-0.537#-0.405#-0.115#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.43#-0.308#0.136#0.838,0.168#0.107#0.004#0.98,-0.407#-0.017#0.005#0.913,-0.1#-0.569#0.103#0.81,-0.539#-0.403#-0.112#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.43#-0.308#0.136#0.838,0.166#0.108#0.003#0.98,-0.406#-0.016#0.006#0.914,-0.1#-0.569#0.103#0.81,-0.539#-0.403#-0.112#0.731,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.431#-0.306#0.134#0.838,0.166#0.108#0.003#0.98,-0.406#-0.016#0.006#0.914,-0.104#-0.567#0.101#0.811,-0.54#-0.401#-0.109#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.431#-0.306#0.134#0.838,0.164#0.111#0#0.98,-0.406#-0.016#0.007#0.914,-0.104#-0.567#0.101#0.811,-0.54#-0.401#-0.109#0.732,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.431#-0.304#0.132#0.839,0.164#0.111#0#0.98,-0.406#-0.016#0.007#0.914,-0.112#-0.564#0.098#0.812,-0.54#-0.398#-0.105#0.734,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.431#-0.304#0.132#0.839,0.161#0.113#-0.002#0.981,-0.404#-0.016#0.01#0.914,-0.112#-0.564#0.098#0.812,-0.54#-0.398#-0.105#0.734,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.429#-0.302#0.13#0.841,0.161#0.113#-0.002#0.981,-0.404#-0.016#0.01#0.914,-0.121#-0.561#0.096#0.813,-0.541#-0.395#-0.103#0.735,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.429#-0.302#0.13#0.841,0.157#0.115#-0.005#0.981,-0.403#-0.017#0.014#0.915,-0.121#-0.561#0.096#0.813,-0.54#-0.387#-0.103#0.74,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.426#-0.3#0.128#0.844,0.157#0.115#-0.005#0.981,-0.403#-0.017#0.014#0.915,-0.129#-0.557#0.094#0.815,-0.54#-0.387#-0.103#0.74,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.426#-0.3#0.128#0.844,0.153#0.118#-0.011#0.981,-0.401#-0.017#0.018#0.916,-0.129#-0.557#0.094#0.815,-0.535#-0.38#-0.103#0.748,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.421#-0.298#0.124#0.848,0.153#0.118#-0.011#0.981,-0.401#-0.017#0.018#0.916,-0.134#-0.555#0.092#0.816,-0.535#-0.38#-0.103#0.748,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.421#-0.298#0.124#0.848,0.147#0.122#-0.017#0.982,-0.397#-0.014#0.022#0.918,-0.134#-0.555#0.092#0.816,-0.521#-0.353#-0.121#0.768,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.416#-0.295#0.118#0.852,0.147#0.122#-0.017#0.982,-0.397#-0.014#0.022#0.918,-0.132#-0.552#0.088#0.818,-0.521#-0.353#-0.121#0.768,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.416#-0.295#0.118#0.852,0.136#0.126#-0.023#0.982,-0.391#-0.011#0.029#0.92,-0.132#-0.552#0.088#0.818,-0.509#-0.328#-0.118#0.787,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.408#-0.29#0.115#0.858,0.136#0.126#-0.023#0.982,-0.391#-0.011#0.029#0.92,-0.109#-0.555#0.09#0.82,-0.509#-0.328#-0.118#0.787,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.397#-0.281#0.114#0.866,0.126#0.13#-0.029#0.983,-0.384#-0.005#0.037#0.922,-0.075#-0.549#0.081#0.829,-0.502#-0.305#-0.113#0.801,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.397#-0.281#0.114#0.866,0.115#0.135#-0.036#0.983,-0.382#0.008#0.043#0.923,-0.075#-0.549#0.081#0.829,-0.502#-0.305#-0.113#0.801,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.397#-0.281#0.114#0.866,0.115#0.135#-0.036#0.983,-0.382#0.008#0.043#0.923,-0.075#-0.549#0.081#0.829,-0.502#-0.305#-0.113#0.801,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.384#-0.271#0.113#0.876,0.099#0.142#-0.04#0.984,-0.38#0.018#0.06#0.923,-0.043#-0.536#0.076#0.839,-0.491#-0.292#-0.101#0.815,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.369#-0.258#0.113#0.886,0.099#0.142#-0.04#0.984,-0.38#0.018#0.06#0.923,-0.015#-0.534#0.082#0.841,-0.465#-0.281#-0.089#0.835,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.369#-0.258#0.113#0.886,0.079#0.15#-0.042#0.985,-0.38#0.052#0.07#0.921,-0.015#-0.534#0.082#0.841,-0.465#-0.281#-0.089#0.835,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.353#-0.242#0.115#0.896,0.079#0.15#-0.042#0.985,-0.38#0.052#0.07#0.921,0.014#-0.527#0.081#0.846,-0.434#-0.271#-0.079#0.856,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.353#-0.242#0.115#0.896,0.056#0.161#-0.046#0.984,-0.375#0.087#0.081#0.919,0.014#-0.527#0.081#0.846,-0.434#-0.271#-0.079#0.856,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.335#-0.224#0.117#0.907,0.056#0.161#-0.046#0.984,-0.375#0.087#0.081#0.919,0.039#-0.496#0.077#0.864,-0.396#-0.263#-0.057#0.878,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.335#-0.224#0.117#0.907,0.032#0.175#-0.05#0.983,-0.371#0.119#0.091#0.917,0.039#-0.496#0.077#0.864,-0.396#-0.263#-0.057#0.878,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.314#-0.206#0.118#0.919,0.032#0.175#-0.05#0.983,-0.371#0.119#0.091#0.917,0.048#-0.478#0.092#0.872,-0.368#-0.253#-0.018#0.895,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.314#-0.206#0.118#0.919,0.008#0.188#-0.051#0.981,-0.371#0.144#0.104#0.911,0.048#-0.478#0.092#0.872,-0.368#-0.253#-0.018#0.895,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.289#-0.189#0.119#0.931,0.008#0.188#-0.051#0.981,-0.371#0.144#0.104#0.911,0.066#-0.423#0.098#0.898,-0.35#-0.225#0.028#0.909,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.289#-0.189#0.119#0.931,-0.009#0.2#-0.05#0.979,-0.372#0.164#0.109#0.907,0.066#-0.423#0.098#0.898,-0.35#-0.225#0.028#0.909,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
