chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
-0.336#0.596#-0.224#-0.694,0.106#0.365#-0.147#-0.913,0.129#0.206#-0.04#-0.969,-0.075#0.808#0.185#-0.554,-0.023#-0.614#-0.265#0.743,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.336#0.596#-0.224#-0.694,0.106#0.365#-0.147#-0.913,0.129#0.206#-0.04#-0.969,-0.075#0.808#0.185#-0.554,-0.023#-0.614#-0.265#0.743,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.335#0.594#-0.223#-0.697,0.106#0.365#-0.147#-0.913,0.129#0.206#-0.04#-0.969,-0.074#0.807#0.184#-0.556,-0.024#-0.615#-0.267#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.335#0.594#-0.223#-0.697,0.107#0.365#-0.146#-0.913,0.132#0.205#-0.042#-0.969,-0.074#0.807#0.184#-0.556,-0.024#-0.615#-0.267#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.335#0.594#-0.223#-0.697,0.107#0.365#-0.146#-0.913,0.132#0.205#-0.042#-0.969,-0.074#0.807#0.184#-0.556,-0.024#-0.615#-0.267#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.593#-0.222#-0.699,0.107#0.365#-0.146#-0.913,0.132#0.205#-0.042#-0.969,-0.073#0.806#0.184#-0.558,-0.022#-0.615#-0.266#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.593#-0.222#-0.699,0.109#0.364#-0.146#-0.913,0.133#0.205#-0.04#-0.969,-0.073#0.806#0.184#-0.558,-0.022#-0.615#-0.266#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.593#-0.222#-0.699,0.109#0.364#-0.146#-0.913,0.133#0.205#-0.04#-0.969,-0.073#0.806#0.184#-0.558,-0.022#-0.615#-0.266#0.742,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.592#-0.22#-0.701,0.109#0.364#-0.146#-0.913,0.133#0.205#-0.04#-0.969,-0.072#0.805#0.184#-0.559,-0.024#-0.617#-0.266#0.74,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.592#-0.22#-0.701,0.111#0.363#-0.145#-0.914,0.133#0.205#-0.04#-0.969,-0.072#0.805#0.184#-0.559,-0.024#-0.617#-0.266#0.74,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.592#-0.22#-0.701,0.111#0.363#-0.145#-0.914,0.133#0.205#-0.04#-0.969,-0.072#0.805#0.184#-0.559,-0.024#-0.617#-0.266#0.74,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.592#-0.216#-0.703,0.111#0.363#-0.145#-0.914,0.133#0.205#-0.04#-0.969,-0.071#0.804#0.185#-0.561,-0.025#-0.618#-0.266#0.739,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
